Year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2013,49315411,42479588,40275662,44434837,50622288,44455150,43523230,37897475,38789745,38867401,45333733,47033407,523027925
2014,54044610,46595234,49259098,45014625,43556561,44473596,40523712,41758506,41662825,43516106,44320710,45317887,540043469
2015,57173193,37795658,35768306,35587260,52973117,51020490,51592645,50942700,51655597,55417333,68280126,58872068,607078492
2016,56804236,52825195,48413917,54352177,49492229,66365814,58474605,56145499,43667336,56933086,54086177,50658407,648218678
2017,45130656,46243101,38638648,47088539,47238249,48873482,42552581,54949240,55806147,58136014,55211948,51513765,591382369
2018,51546252,47301318,49846950,52014427,49628518,50331845,53181524,52560505,56370128,55251897,57017071,59240830,634294096
2019,56114260,54662265,54332185,41458515,48293005,52327774,63539515,60455305,61997410,59321270,51301230,68906335,685872188
2020,63386250,53878313,56094855,54776345,42510515,53243983,54308863,59309080,58037285,59710445,60583840,67856930,684383721
2021,63795178,64621051,62792467,59046885,77333351,74073581,69494734,67745326,72044773,66590969,65217297,64886161,801910769
2022,69361627,66422706,61756698,61779627,64285555,65687153,61227569,59118942,66616245,60511229,58310965,59267191,754345507
